STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18
Ohio,OH,3/9/20,3/17/20,3/26/20,3/11/20,3/24/20,5/20/20,3/24/20,5/4/20,1,0,0,0,0,4/29/20,1,1,3/15/20,5/15/20,1,3/17/20,5/20/20,3/17/20,6/10/20,5/15/20,0,0,5/15/20,0,0,0,0,3/13/20,0,3/26/20,5/11/20,4/13/20,4/22/20,0,0,3/19/20,3/9/20,0,1,1,1,3/10/20,0,0,1,0,0,3/18/20,5/1/20,0,3/16/20,0,1,0,0,0,480,1080,26,39,1,0,0,0,0,0,0,0,1,260.77,11689442,44826,"10,345",4.9,13.9,39.8,"124,264"
Oklahoma,OK,3/15/20,3/17/20,0,3/16/20,0,0,4/1/20,4/24/20,0,0,0,0,0,0,1,1,4/1/20,5/1/20,0,4/1/20,5/1/20,4/1/20,5/1/20,4/24/20,0,5/1/20,5/15/20,0,0,0,0,0,0,3/30/20,0,4/13/20,3/24/20,0,0,3/25/20,3/16/20,0,1,0,1,3/13/20,0,0,1,0,0,3/24/20,4/24/20,0,3/21/20,1,0,0,0,0,539,1139,26,39,1,0,0,0,0,0,0,0,0,56.41,3943079,69899,"3,944",4.4,15.6,40.8,"40,933"
Oregon,OR,3/8/20,3/16/20,3/25/20,0,3/23/20,6/19/20,0,5/15/20,0,0,0,0,0,5/9/20,1,1,3/17/20,6/19/20,0,3/24/20,6/19/20,3/24/20,0,6/19/20,0,5/14/20,6/19/20,0,4/1/20,3/22/20,0,0,0,4/6/20,4/29/20,4/13/20,3/25/20,0,0,3/13/20,3/13/20,0,1,1,1,3/13/20,3/13/20,1,0,0,0,3/18/20,5/1/20,0,0,1,1,0,1,0,648,1248,26,39,0,0,0,0,0,0,0,1,1,42.60,4190713,98379,"15,876",5,12.6,39.8,"36,187"
Pennsylvania,PA,3/6/20,3/16/20,3/17/20,3/17/20,4/1/20,6/5/20,3/19/20,6/5/20,1,4/19/20,0,0,1,4/19/20,1,1,3/17/20,6/5/20,1,3/19/20,0,3/19/20,0,0,5/1/20,0,6/5/20,0,3/18/20,3/18/20,0,3/13/20,0,4/2/20,5/6/20,4/10/20,3/27/20,0,0,3/15/20,3/20/20,0,1,0,1,3/13/20,0,0,1,0,0,3/20/20,4/27/20,0,3/27/20,1,1,0,0,0,572,1172,26,39,1,3/25/20,3/18/20,0,already in effect 10/24/19,0,0,0,1,278.09,12807060,46054,"13,199",4.9,12.2,39.8,"134,702"
Rhode Island,RI,3/9/20,3/16/20,3/16/20,3/13/20,3/28/20,5/9/20,3/30/20,5/9/20,0,4/18/20,0,0,1,4/18/20,1,1,3/17/20,5/18/20,1,3/23/20,6/1/20,3/23/20,0,6/1/20,0,5/30/20,6/1/20,0,3/19/20,0,0,3/16/20,0,3/25/20,4/10/20,4/13/20,3/25/20,3/14/20,0,3/18/20,3/18/20,0,1,1,1,3/11/20,0,0,0,1,0,0,0,0,3/8/20,0,1,0,1,0,190,790,26,39,0,4/13/20,0,4/13/20,0,0,0,1,1,684.35,1057315,1545,"1,055",5.5,12.9,38.3,"10,083"
South Carolina,SC,3/13/20,3/16/20,0,3/15/20,4/7/20,5/4/20,4/1/20,4/20/20,1,0,0,0,0,0,1,1,3/18/20,5/4/20,1,4/1/20,5/18/20,4/1/20,0,5/18/20,0,0,5/4/20,0,3/17/20,0,0,3/18/20,0,3/24/20,6/18/20,4/10/20,3/30/20,0,0,3/19/20,3/15/20,0,1,0,1,3/12/20,0,0,1,0,0,0,0,0,3/19/20,1,0,0,0,0,326,926,20,33,0,0,0,0,0,0,0,0,0,158.78,5084127,32020,"4,172",5.3,15.3,41.4,"50,640"
South Dakota,SD,3/13/20,3/16/20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/9/20,0,0,3/24/20,0,0,4/15/20,3/23/20,0,1,0,0,3/12/20,0,0,1,0,0,3/23/20,4/28/20,0,0,1,1,0,1,0,414,1014,26,39,0,0,0,0,0,0,0,0,0,11.44,882235,77116,995,3,13.1,35.3,"7,971"
Tennessee,TN,3/12/20,3/20/20,0,3/23/20,4/2/20,5/1/20,4/1/20,5/1/20,1,0,0,0,0,0,1,1,3/23/20,4/27/20,0,3/23/20,5/1/20,3/23/20,5/22/20,5/6/20,0,0,5/22/20,0,0,0,0,3/31/20,0,3/24/20,5/19/20,0,3/30/20,0,0,3/19/20,3/13/20,0,1,0,1,3/12/20,1,0,0,1,0,3/24/20,5/1/20,0,3/19/20,1,1,0,1,0,275,875,26,39,1,0,0,0,0,0,0,0,0,160.64,6770010,42144,7467,5.5,15.3,41.6,"71,078"
Texas,TX,3/13/20,3/23/20,0,3/21/20,0,0,3/31/20,5/1/20,1,0,0,0,0,5/8/20,1,1,3/21/20,5/1/20,0,3/21/20,5/18/20,3/31/20,5/1/20,5/8/20,0,0,5/22/20,6/26/20,0,3/19/20,0,3/26/20,0,4/6/20,5/8/20,4/10/20,3/30/20,0,0,3/17/20,3/17/20,0,1,0,1,3/13/20,3/13/20,0,1,0,0,3/22/20,4/21/20,0,3/17/20,1,1,1,0,0,521,1121,26,39,1,0,0,0,0,0,0,0,0,106.86,28701845,268596,"25,848",4.9,14.9,34.8,"202,211"
Utah,UT,3/6/20,3/16/20,0,4/1/20,0,0,0,5/1/20,0,4/10/20,0,0,1,4/10/20,1,1,3/19/20,5/1/20,0,0,5/1/20,0,5/1/20,5/1/20,0,5/6/20,5/1/20,0,0,4/1/20,0,0,0,4/15/20,0,0,4/10/20,0,0,3/25/20,3/20/20,0,1,1,0,3/12/20,0,0,1,0,0,3/25/20,4/22/20,0,0,0,1,0,0,0,580,1180,26,39,0,0,0,0,0,0,0,0,1,37.23,3161105,84897,"2,798",3.2,9,30,"18,354"
Vermont,VT,3/13/20,3/18/20,3/18/20,3/13/20,3/25/20,5/15/20,3/25/20,4/27/20,0,0,0,0,0,4/17/20,1,1,3/17/20,5/22/20,1,3/23/20,6/1/20,3/25/20,0,5/29/20,5/4/20,5/23/20,6/8/20,0,0,0,0,3/27/20,0,3/27/20,5/4/20,0,3/30/20,3/20/20,0,3/20/20,3/30/20,0,1,0,1,3/13/20,0,1,0,0,0,3/20/20,5/4/20,0,3/13/20,1,1,0,1,0,513,1113,26,39,0,0,0,0,0,0,0,1,1,65.13,626299,9616,"1,089",3.8,11,39.1,"6,027"
Virginia,VA,3/12/20,3/16/20,0,0,3/30/20,5/29/20,0,5/29/20,0,5/29/20,0,1,0,5/29/20,1,1,3/25/20,5/29/20,1,3/25/20,6/12/20,3/25/20,0,5/15/20,0,5/15/20,6/12/20,0,0,0,0,3/16/20,0,3/24/20,4/25/20,4/13/20,3/23/20,0,0,3/19/20,3/19/20,0,1,1,1,3/13/20,3/13/20,1,0,0,0,3/25/20,5/1/20,0,3/17/20,1,1,0,1,0,378,978,26,39,0,0,0,0,0,0,0,0,1,199.13,8517685,42775,"5,783",4.2,10.7,35.9,"69,359"
Washington,WA,2/29/20,3/17/20,0,3/16/20,3/23/20,6/1/20,3/25/20,5/5/20,0,6/26/20,0,0,1,5/4/20,1,0,3/16/20,0,0,3/16/20,0,3/16/20,0,0,0,5/27/20,0,0,3/18/20,3/18/20,1/0/00,3/18/20,1/0/00,3/27/20,5/22/20,0,3/19/20,43900,1/0/00,3/25/20,3/25/20,0,1,1,1,3/13/20,0,0,1,0,1/0/00,3/19/20,4/29/20,0,3/18/20,1,1,1,0,0,790,1390,26,39,0,0,0,0,0,0,0,1,1,105.69,7535591,71298,21577,4.3,10.3,35,56877
West Virginia,WV,3/16/20,3/16/20,3/26/20,0,3/24/20,5/4/20,3/24/20,5/4/20,1,0,0,0,0,5/4/20,1,1,3/18/20,5/4/20,1,3/19/20,5/18/20,3/24/20,6/5/20,5/4/20,0,0,5/26/20,0,0,0,0,0,1/0/00,3/27/20,4/30/20,0,3/30/20,0,1/0/00,3/16/20,3/17/20,0,1,0,0,3/11/20,0,0,0,1,1/0/00,4/1/20,4/20/20,0,3/19/20,1,1,0,0,0,424,1024,26,39,1,0,0,1/0/00,3/31/20,3/31/20,0,0,1,74.53,1805832,"24,230",1397,5.8,17.8,49,23478
Wisconsin,WI,3/12/20,3/18/20,0,0,3/25/20,5/13/20,3/25/20,5/11/20,0,0,0,0,0,0,1,1,3/17/20,5/13/20,0,3/25/20,5/13/20,3/25/20,5/13/20,5/13/20,0,5/13/20,5/13/20,0,3/27/20,3/27/20,1/0/00,3/22/20,1/0/00,4/1/20,4/22/20,0,4/20/20,0,1/0/00,3/17/20,3/12/20,0,1,0,1,3/13/20,0,0,1,0,0,0,0,0,0,1,1,0,1,0,370,970,26,39,0,0,0,0,0,0,0,0,0,88.76,5813568,"65,496",4538,3.2,11,37,53684
Wyoming,WY,3/13/20,3/19/20,3/19/20,0,0,0,0,5/1/20,0,0,0,0,0,5/1/20,1,1,3/19/20,5/15/20,0,3/19/20,5/1/20,3/19/20,5/15/20,5/1/20,0,6/15/20,5/15/20,0,0,0,0,0,1/0/00,4/1/20,4/16/20,0,3/27/20,0,0,0,0,0,1,0,0,3/18/20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,508,1108,26,39,0,0,0,0,0,0,0,0,0,5.91,577737,"97,813",548,3.9,11.1,36,5070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
